final_cluster_id,week,complaint_count
-1,2015-03-16,172
-1,2015-03-23,385
-1,2015-03-30,368
-1,2015-04-06,381
-1,2015-04-13,327
-1,2015-04-20,419
-1,2015-04-27,425
-1,2015-05-04,345
-1,2015-05-11,426
-1,2015-05-18,407
-1,2015-05-25,364
-1,2015-06-01,403
-1,2015-06-08,383
-1,2015-06-15,384
-1,2015-06-22,418
-1,2015-06-29,367
-1,2015-07-06,520
-1,2015-07-13,487
-1,2015-07-20,451
-1,2015-07-27,453
-1,2015-08-03,463
-1,2015-08-10,396
-1,2015-08-17,438
-1,2015-08-24,466
-1,2015-08-31,400
-1,2015-09-07,379
-1,2015-09-14,386
-1,2015-09-21,437
-1,2015-09-28,372
-1,2015-10-05,387
-1,2015-10-12,370
-1,2015-10-19,438
-1,2015-10-26,381
-1,2015-11-02,389
-1,2015-11-09,373
-1,2015-11-16,346
-1,2015-11-23,262
-1,2015-11-30,368
-1,2015-12-07,351
-1,2015-12-14,370
-1,2015-12-21,270
-1,2015-12-28,304
-1,2016-01-04,379
-1,2016-01-11,381
-1,2016-01-18,409
-1,2016-01-25,408
-1,2016-02-01,404
-1,2016-02-08,396
-1,2016-02-15,388
-1,2016-02-22,374
-1,2016-02-29,373
-1,2016-03-07,404
-1,2016-03-14,449
-1,2016-03-21,416
-1,2016-03-28,423
-1,2016-04-04,437
-1,2016-04-11,449
-1,2016-04-18,410
-1,2016-04-25,376
-1,2016-05-02,415
-1,2016-05-09,443
-1,2016-05-16,391
-1,2016-05-23,414
-1,2016-05-30,374
-1,2016-06-06,437
-1,2016-06-13,374
-1,2016-06-20,409
-1,2016-06-27,413
-1,2016-07-04,401
-1,2016-07-11,393
-1,2016-07-18,406
-1,2016-07-25,458
-1,2016-08-01,416
-1,2016-08-08,497
-1,2016-08-15,444
-1,2016-08-22,416
-1,2016-08-29,394
-1,2016-09-05,422
-1,2016-09-12,496
-1,2016-09-19,542
-1,2016-09-26,523
-1,2016-10-03,493
-1,2016-10-10,515
-1,2016-10-17,452
-1,2016-10-24,451
-1,2016-10-31,487
-1,2016-11-07,428
-1,2016-11-14,415
-1,2016-11-21,299
-1,2016-11-28,438
-1,2016-12-05,433
-1,2016-12-12,425
-1,2016-12-19,375
-1,2016-12-26,345
-1,2017-01-02,442
-1,2017-01-09,454
-1,2017-01-16,633
-1,2017-01-23,558
-1,2017-01-30,508
-1,2017-02-06,537
-1,2017-02-13,499
-1,2017-02-20,427
-1,2017-02-27,428
-1,2017-03-06,491
-1,2017-03-13,539
-1,2017-03-20,568
-1,2017-03-27,539
-1,2017-04-03,567
-1,2017-04-10,550
-1,2017-04-17,566
-1,2017-04-24,912
-1,2017-05-01,822
-1,2017-05-08,703
-1,2017-05-15,309
-1,2017-05-22,127
-1,2017-05-29,133
-1,2017-06-05,60
-1,2017-06-12,57
-1,2017-06-19,20
-1,2017-06-26,10
-1,2017-07-03,41
-1,2017-07-10,24
-1,2017-07-17,4
-1.0,2015-03-16,44
-1.0,2015-03-23,105
-1.0,2015-03-30,83
-1.0,2015-04-06,75
-1.0,2015-04-13,96
-1.0,2015-04-20,109
-1.0,2015-04-27,94
-1.0,2015-05-04,83
-1.0,2015-05-11,103
-1.0,2015-05-18,122
-1.0,2015-05-25,96
-1.0,2015-06-01,108
-1.0,2015-06-08,121
-1.0,2015-06-15,112
-1.0,2015-06-22,122
-1.0,2015-06-29,95
-1.0,2015-07-06,121
-1.0,2015-07-13,97
-1.0,2015-07-20,102
-1.0,2015-07-27,112
-1.0,2015-08-03,114
-1.0,2015-08-10,123
-1.0,2015-08-17,120
-1.0,2015-08-24,131
-1.0,2015-08-31,84
-1.0,2015-09-07,95
-1.0,2015-09-14,107
-1.0,2015-09-21,123
-1.0,2015-09-28,103
-1.0,2015-10-05,85
-1.0,2015-10-12,102
-1.0,2015-10-19,101
-1.0,2015-10-26,97
-1.0,2015-11-02,90
-1.0,2015-11-09,95
-1.0,2015-11-16,90
-1.0,2015-11-23,60
-1.0,2015-11-30,104
-1.0,2015-12-07,101
-1.0,2015-12-14,85
-1.0,2015-12-21,76
-1.0,2015-12-28,99
-1.0,2016-01-04,108
-1.0,2016-01-11,124
-1.0,2016-01-18,116
-1.0,2016-01-25,104
-1.0,2016-02-01,111
-1.0,2016-02-08,90
-1.0,2016-02-15,112
-1.0,2016-02-22,100
-1.0,2016-02-29,114
-1.0,2016-03-07,112
-1.0,2016-03-14,128
-1.0,2016-03-21,101
-1.0,2016-03-28,86
-1.0,2016-04-04,110
-1.0,2016-04-11,150
-1.0,2016-04-18,96
-1.0,2016-04-25,114
-1.0,2016-05-02,112
-1.0,2016-05-09,116
-1.0,2016-05-16,100
-1.0,2016-05-23,115
-1.0,2016-05-30,91
-1.0,2016-06-06,113
-1.0,2016-06-13,102
-1.0,2016-06-20,128
-1.0,2016-06-27,121
-1.0,2016-07-04,108
-1.0,2016-07-11,95
-1.0,2016-07-18,116
-1.0,2016-07-25,131
-1.0,2016-08-01,113
-1.0,2016-08-08,126
